taiwanjobs	text/html	https://job.taiwanjobs.gov.tw/Internet/Index/DocDetail.aspx?docid=17062&uk=1420
laf-onsite	text/html	https://www.laf.org.tw/service-legal-advice/1
labor-mol	text/html	https://www.mol.gov.tw/1607/28162/28296/81778/81802/81951/
labor-taipei	text/html	https://bola.gov.taipei/News_Content.aspx?n=1A6417117CA20D98&s=9598CEC46364ACB0&sms=31B6C0BAB6E11488
labor-form	application/pdf	https://service.gov.taipei/FileLink/Click?no=201907290026&t=%E5%A1%AB%E5%AF%AB%E7%AF%84%E4%BE%8B&title=12-%E8%87%BA%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C%E5%8B%9E%E5%8B%95%E5%B1%80%E5%8B%9E%E8%B3%87%E7%88%AD%E8%AD%B0%E8%AA%BF%E8%A7%A3%E7%94%B3%E8%AB%8B%E6%9B%B8%28%E7%AF%84%E4%BE%8B%29.pdf
foi-fee	text/html	https://www.foi.org.tw/Article.aspx?Arti=1616&Lang=1&lid=645
foi-process	text/html	https://www.foi.org.tw/Article.aspx?Arti=1622&Lang=1&p=3
caregiver-provider	text/html	https://www.familycare.org.tw/taxonomy/term/892
caregiver-contact	text/html	https://www.familycare.org.tw/contact
mohw-hotlines	text/html	https://www.mohw.gov.tw/CSO/cp-23-135-1.html
dementia	text/html	https://dementia.gov.taipei/News_Content.aspx?n=04825D3265339708&s=65C3246500BEEBAD&sms=D3FC34DCF234E6DD
smoking	text/html	https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=4705&pid=17752
maternal	text/html	https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=4705&pid=16871
hpa-hotlines	text/html	https://www.hpa.gov.tw/Pages/List.aspx?nodeid=94
itaiwan-intro	text/html	https://itaiwan.gov.tw/ITaiwanArticle/Contents?articleId=81
itaiwan-faq	text/html	https://itaiwan.gov.tw/ITaiwanArticle/Contents?articleId=80
taipei-elearning-rules	application/pdf	https://elearning.taipei/mpage/webfile/userfiles/files/Provision0407.pdf
taipei-elearning-list	text/html	https://elearning.taipei/mpage/view_type_list
cloud-library	text/html	https://www.ebookservice.tw/tp/support/library-guide?mode=full
blind-library	text/html	https://blind.tpml.gov.taipei/TaipeiLib/wSite/ct?ctNode=338&xItem=64090
adult-health-free	text/html	https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=4878&pid=18755&sid=19082
adult-health-current	text/html	https://www.hpa.gov.tw/Pages/List.aspx?nodeid=189
adult-health-action	text/html	https://scbooking.health.gov.taipei/
tpml-card-fee	text/html	https://tpml.gov.taipei/News_Content.aspx?n=E5F579B94C9D2941&s=0B14D794801EB4E3
tpml-card-how	text/html	https://tpml.gov.taipei/News_Content.aspx?n=E5F579B94C9D2941&s=3042D939FA6A98F3
tpml-loan	text/html	https://tpml.gov.taipei/News_Content.aspx?n=E5F579B94C9D2941&s=930491EFE66FAA04
taiwanlife-intro	text/html	https://help.taiwanlife.org/business-introduction/account-registration/
taiwanlife-free-courses	text/html	https://taiwanlife.org/admin/tool/mooccourse/allcourses.php?method=1
youth-career	text/html	https://coach.taiwanjobs.gov.tw/wdaecPublic/
